name,phone,city,category,rating,reviews,whatsapp_link,status
"Nandi Food Plaza - Function Hall A/C","+91 91823 22387","chittoor","Restaurant",3.8,19415,"https://wa.me/919182322387?text=%F0%9F%99%8F%20Namaste%20Nandi%20Food%20Plaza%20-%20Function%20Ha%20ji%2C%0A%0AYour%20restaurant%20has%20an%20amazing%2019%2C415%2B%20reviews%20with%203.8%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20chittoor.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Nandi%20Food%20Plaza%20-%20Function%20Ha%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending"
"SUBBAYYA GARI HOTEL AND AC LODGE","+91 81799 93485","cuddapah","South Indian restaurant",4.2,18694,"https://wa.me/918179993485?text=%F0%9F%99%8F%20Namaste%20SUBBAYYA%20GARI%20HOTEL%20AND%20AC%20LOD%20ji%2C%0A%0AYour%20south%20indian%20restaurant%20has%20an%20amazing%2018%2C694%2B%20reviews%20with%204.2%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20cuddapah.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20SUBBAYYA%20GARI%20HOTEL%20AND%20AC%20LOD%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending"
"Hotel Kamat","+91 99886 46999","visakhapatnam","Biryani restaurant",3.9,15791,"https://wa.me/919988646999?text=%F0%9F%99%8F%20Namaste%20Hotel%20Kamat%20ji%2C%0A%0AYour%20biryani%20restaurant%20has%20an%20amazing%2015%2C791%2B%20reviews%20with%203.9%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20visakhapatnam.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Hotel%20Kamat%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending"
"Chillies Restaurant","+91 92480 26999","chittoor","Andhra restaurant",4,15064,"https://wa.me/919248026999?text=%F0%9F%99%8F%20Namaste%20Chillies%20Restaurant%20ji%2C%0A%0AYour%20andhra%20restaurant%20has%20an%20amazing%2015%2C064%2B%20reviews%20with%204%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20chittoor.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Chillies%20Restaurant%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending"
"Cross Roads Family Restaurant and Sweets","+91 77770 21234","krishna","Family restaurant",4.6,14571,"https://wa.me/917777021234?text=%F0%9F%99%8F%20Namaste%20Cross%20Roads%20Family%20Restaurant%20%20ji%2C%0A%0AYour%20family%20restaurant%20has%20an%20amazing%2014%2C571%2B%20reviews%20with%204.6%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20krishna.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Cross%20Roads%20Family%20Restaurant%20%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending"
"Hotel Subani","+91 90147 34244","east godavari","Andhra restaurant",3.9,13860,"https://wa.me/919014734244?text=%F0%9F%99%8F%20Namaste%20Hotel%20Subani%20ji%2C%0A%0AYour%20andhra%20restaurant%20has%20an%20amazing%2013%2C860%2B%20reviews%20with%203.9%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20east%20godavari.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Hotel%20Subani%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending"
"Hotel Nellore Grand","+91 85534 61111","krishna","South Indian restaurant",3.8,13425,"https://wa.me/918553461111?text=%F0%9F%99%8F%20Namaste%20Hotel%20Nellore%20Grand%20ji%2C%0A%0AYour%20south%20indian%20restaurant%20has%20an%20amazing%2013%2C425%2B%20reviews%20with%203.8%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20krishna.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Hotel%20Nellore%20Grand%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending"
"Jyoti Mall","+91 85182 89309","kurnool","Shopping mall",4.2,13369,"https://wa.me/918518289309?text=%F0%9F%99%8F%20Namaste%20Jyoti%20Mall%20ji%2C%0A%0AYour%20shopping%20mall%20has%20an%20amazing%2013%2C369%2B%20reviews%20with%204.2%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20kurnool.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Jyoti%20Mall%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending"
"Jyoti Mall","+91 85182 89309","kurnool","Shopping mall",4.2,13369,"https://wa.me/918518289309?text=%F0%9F%99%8F%20Namaste%20Jyoti%20Mall%20ji%2C%0A%0AYour%20shopping%20mall%20has%20an%20amazing%2013%2C369%2B%20reviews%20with%204.2%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20kurnool.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Jyoti%20Mall%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending"
"Murali Krishna70 Restaurant","+91 861 232 7522","krishna","North Indian restaurant",3.9,12394,"https://wa.me/918612327522?text=%F0%9F%99%8F%20Namaste%20Murali%20Krishna70%20Restaurant%20ji%2C%0A%0AYour%20north%20indian%20restaurant%20has%20an%20amazing%2012%2C394%2B%20reviews%20with%203.9%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20krishna.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Murali%20Krishna70%20Restaurant%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","pending""Magnet Salon | Magunta Layout, Nellore","+91 98850 77796","nellore","Beauty salon",4.8,4503,"https://wa.me/919885077796?text=%F0%9F%99%8F%20Namaste%20Magnet%20Salon%20%7C%20Magunta%20Layout%2C%20ji%2C%0A%0AYour%20beauty%20salon%20has%20an%20amazing%204%2C503%2B%20reviews%20with%204.8%E2%98%85%20on%20Google%20Maps%20%E2%80%94%20that%20shows%20real%20customer%20trust!%0A%0AI'm%20a%20professional%20web%20designer%20and%20I%20build%20modern%20websites%20for%20successful%20businesses%20like%20yours%20in%20nellore.%0A%0AHere's%20a%20sample%20of%20the%20kind%20of%20website%20I%20create%3A%0A%F0%9F%8C%90%20https%3A%2F%2Fnandi-food-plaza.pages.dev%0A%0AThis%20has%20interactive%20menus%2C%20photo%20gallery%2C%20Google%20Maps%2C%20WhatsApp%20button%2C%20and%20works%20beautifully%20on%20mobile.%0A%0AFor%20Magnet%20Salon%20%7C%20Magunta%20Layout%2C%2C%20I%20can%20build%20a%20personalized%20website%20like%20this%20with%3A%0A%E2%9C%85%20Your%20menu%2Fservices%20with%20photos%0A%E2%9C%85%20Customer%20reviews%20showcase%0A%E2%9C%85%20WhatsApp%20click-to-chat%20button%0A%E2%9C%85%20Google%20Maps%20location%0A%E2%9C%85%20SEO%20so%20customers%20find%20you%20on%20Google%0A%0A%F0%9F%92%B0%20Introductory%20price%3A%20just%20%E2%82%B95%2C000%20one-time%20(no%20monthly%20fees%20for%201st%20year).%0A%0AInterested%3F%20Just%20reply%20%22YES%22%20and%20I'll%20share%20more%20details.%0A%0AReply%20STOP%20to%20opt%20out.","2026-03-19","pending"
